"efo_id","disease_full_name","number_of_associations"
"Orphanet_1447","Ring chromosome 4",2
"Orphanet_2964","Autosomal dominant prognathism",9
"Orphanet_1327","Camptodactyly syndrome, Guadalajara type 1",10
"Orphanet_93975","Renier-Gabreels-Jasper syndrome",3
"Orphanet_329224","Intellectual disability - craniofacial dysmorphism - cryptorchidism",67
"Orphanet_363611","Intellectual disability-feeding difficulties-developmental delay-microcephaly syndrome",29
"EFO_0009061","TELO2-related intellectual disability-neurodevelopmental disorder",1
"Orphanet_94066","Severe intellectual disability - epilepsy - anal anomalies - distal phalangeal hypoplasia",0
"Orphanet_2871","Pfeiffer-Palm-Teller syndrome",48
"Orphanet_1973","Faciocardiorenal syndrome",2
"Orphanet_363444","Developmental delay-microcephaly-facial dysmorphism syndrome, Hutterite type",7
"Orphanet_424","Familial hyperthyroidism due to mutations in TSH receptor",8
"MONDO_0000050","isolated congenital growth hormone deficiency",535
"Orphanet_95495","Disease associated with non-acquired combined pituitary hormone deficiency",1183
"Orphanet_220465","Laron syndrome with immunodeficiency",209
"Orphanet_2882","Sitosterolemia",29
"Orphanet_391665","Homozygous familial hypercholesterolemia",269
"MONDO_0015130","acquired chronic primary adrenal insufficiency",0
"Orphanet_289548","Inherited isolated adrenal insufficiency due to CYP11A1 deficiency",0
"Orphanet_251274","Familial hyperaldosteronism type III",135
"Orphanet_99763","Familial hyperreninemic hypoaldosteronism type 1",107
"Orphanet_363306","Genetic intestinal disease due to fat malabsorption",596
"Orphanet_90362","Primary intestinal lymphangiectasia",79
"Orphanet_306486","Congenital sucrase-isomaltase deficiency without sucrose intolerance",0
"Orphanet_103907","Chronic diarrhea due to glucoamylase deficiency",2
"MONDO_0008913","cardiac valvular defect, developmental",1
"Orphanet_86","Familial abdominal aortic aneurysm",14
"Orphanet_85450","Familial renal amyloidosis",40
"Orphanet_79301","Congenital bile acid synthesis defect type 1",94
"Orphanet_187","Citrullinemia",67
"EFO_0007193","carbamoyl phosphate synthetase I deficiency disease",205
"Orphanet_93612","Cystinuria type A",7
"Orphanet_79197","Disorder of branched-chain amino acid metabolism",420
"Orphanet_2224","Hypertryptophanemia",1
"Orphanet_22","4-hydroxybutyric aciduria",101
"Orphanet_79254","Classical phenylketonuria",6
"Orphanet_308448","Aminoacylase deficiency",558
"Orphanet_19","2-hydroxyglutaric aciduria",106
"Orphanet_20","3-hydroxy-3-methylglutaric aciduria",15
"Orphanet_308407","Disorder of beta and omega amino acid metabolism",154
"Orphanet_391376","Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome",10
"Orphanet_217396","Progressive demyelinating neuropathy with bilateral striatal necrosis",197
"Orphanet_99960","Benign recurrent intrahepatic cholestasis type 1",9
"Orphanet_2312","Transient familial neonatal hyperbilirubinemia",82
"Orphanet_352649","Brain dopamine-serotonin vesicular transport disease",1
"Orphanet_309845","Disorder of zinc metabolism",157
"Orphanet_308993","Glycerol kinase deficiency",5
"Orphanet_404454","Alacrimia-choreoathetosis-liver dysfunction syndrome",20
"Orphanet_309450","Disorder of O-xylosylglycan synthesis",275
"Orphanet_238459","SLC35A1-CDG",13
"Orphanet_309526","Disorder of multiple glycosylation",870
"MONDO_0022410","retinal ciliopathy",1355
"Orphanet_277","Severe combined immunodeficiency due to adenosine deaminase deficiency",232
"Orphanet_71859","Rare genetic neurological disorder",12438
"Orphanet_307","Juvenile myoclonic epilepsy",228
"MONDO_0018831","HTRA1-related cerebral small vessel disease",29
"Orphanet_363654","X-linked parkinsonism-spasticity syndrome",34
"Orphanet_2828","Young adult-onset Parkinsonism",187
"EFO_0006830","insulin metabolic clearance rate measurement",0
"EFO_0008000","peak insulin response measurement",29
"EFO_0004762","vascular endothelial growth factor measurement",71
"EFO_0008031","aspartate aminotransferase, cytoplasmic measurement",7
"EFO_0008238","myeloid cell surface antigen CD33 measurement",49
"EFO_0008043","C-C motif chemokine 15 measurement",30
"EFO_0008197","killer cell immunoglobulin-like receptor 2DL4 measurement",41
"EFO_0008256","peptidyl-prolyl cis-trans isomerase D measurement",8
"GO_0009145","purine nucleoside triphosphate biosynthetic process",0
"GO_0009150","purine ribonucleotide metabolic process",0
"GO_0042278","purine nucleoside metabolic process",0
"GO_0006796","phosphate-containing compound metabolic process",0
"GO_0051301","cell division",0
"EFO_0010053","response to cyclosporine",0
"EFO_0007916","response to tricyclic antidepressant",22
"EFO_0008541","response to opioid",27
"EFO_0008324","response to sulfasalazine",79
"EFO_0008348","response to ranibizumab",0
"EFO_0006916","response to dalcetrapib",18
"GO_1903491","response to simvastatin",44
"EFO_0009169","response to deoxygalactonojirimycin",1
"GO_0036274","response to lapatinib",7
"GO_0036272","response to gemcitabine",8
"EFO_0004647","response to platinum based chemotherapy",52
"EFO_0008347","response to trastuzumab",0
"EFO_0007808","response to bortezomib",0
"GO_1901563","response to camptothecin",0
"EFO_0006337","response to allopurinol",26
"EFO_0010123","response to antiviral drug",0
"EFO_0006804","alloimmunization",8
"GO_0008517","folic acid transporter activity",0
"GO_0051234","establishment of localization",0
"GO_0006810","transport",0
"GO_1901576","organic substance biosynthetic process",0
"GO_0036211","protein modification process",0
"EFO_0004323","mental process",8816
"EFO_0004823","perception of facial expression",0
"EFO_0009849","sexual arousal",0
"GO_0042476","odontogenesis",184
"GO_0032501","multicellular organismal process",0
"EFO_0004317","extraversion",21
"EFO_0002950","pregnancy",122
"GO_2000294","positive regulation of defecation",0
"EFO_1001231","uveitis",843
"EFO_1001119","posterior uveitis",219
"MONDO_0004657","disseminated chorioretinitis",0
"EFO_1001482","cardiotoxicity",527
"EFO_0004509","hemoglobin measurement",6851
"EFO_0009206","Free Hemoglobin Measurement",0
"EFO_0009202","Reticulocyte Mean Corpuscular Hemoglobin Measurement",0
"EFO_0009242","Myeloid Progenitor Cell Count",0
"EFO_0007987","granulocyte count",10466
"EFO_0007995","basophil percentage of granulocytes",801
"EFO_0009234","Blood Cell Count with Differential",0
"EFO_0007984","platelet component distribution width",5065
"EFO_0004630","factor VIII measurement",240
"EFO_0004633","protein C measurement",114
"EFO_0004733","anti-cyclic citrullinated peptide antibody measurement",0
"EFO_0004628","insulin like growth factor measurement",0
"EFO_0007716","carotid artery measurement",147
"EFO_0005053","internal carotid intimal medial thickness",0
"EFO_0007718","carotid artery stiffness measurement",0
"EFO_0004516","bone fracture related measurement",8878
"EFO_0007621","bone mineral content measurement",61
"EFO_0005421","serum homoarginine measurement",15
"EFO_0009930","Calcium channel blocker use measurement",1237
"EFO_0009935","Non-steroidal anti-inflammatory and antirheumatic product use measurement",111
"EFO_0009926","Vasodilators used in cardiac diseases use measurement",12
"EFO_0007576","blood cadmium measurement",11
"EFO_0010154","platinum measurement",36
"EFO_0009713","number of siblings",9
"EFO_0007966","clopidogrel metabolite measurement",30
"EFO_0000480","event death",0
"EFO_0004910","CYP3A4 activity",0
"EFO_0009358","Anti-hepatitis B virus surface antigen IgG measurement",39
"EFO_0009353","Anti-Toxoplasma gondii IgG measurement",0
"EFO_0007847","cheekbone morphology measurement",0
"EFO_0010079","corneal endothelial cell measurement",141
"EFO_0008375","macula measurement",1457
"EFO_0006875","acoustic startle blink response measurement",0
"EFO_0005536","nitric oxide exhalation measurement",57
"EFO_0010240","dehydroepiandrosterone measurement",30
"EFO_0010128","immunoglobulin isotype switching measurement",229
"EFO_0008426","IgG bisecting N-acetyl glucosamine measurement",74
"EFO_0008427","IgG fucosylation measurement",120
"EFO_0007812","Plasmodium falciparum antigen IgG measurement",0
"EFO_0005115","metabolic rate measurement",6210
"EFO_0007777","base metabolic rate measurement",6208
"EFO_0005187","C-peptide measurement",74
"EFO_0010521","phosphocreatine measurement",0
"EFO_0010462","aspartate measurement",0
"EFO_0009776","ornithine measurement",11
"EFO_0009792","valine measurement",0
"EFO_0006502","mammographic density percentage",40
"EFO_0006503","dense area measurement",94
"EFO_0009362","nicotine withdrawal measurement",7
"EFO_0004914","facial neural processing",0
"EFO_0009702","intra-individual reaction time variability measurement",2
"EFO_0010243","inorganic ion measurement",0
"EFO_0009183","empathy measurement",6
"EFO_0007061","passage number",0
"EFO_0009721","mother's age at death",2
"EFO_0007765","delta-6 desaturase measurement",33
"EFO_0007745","lactate measurement",42
"EFO_0007861","body ratio measurement",6089
"EFO_0006784","body height at birth",37
"EFO_0005936","underweight body mass index status",150
"EFO_0008452","mid-arm muscle circumference measurement",0
"EFO_0009699","foot muscle strength measurement",0
"EFO_0004741","blood urea nitrogen measurement",1313
"EFO_0004806","asbestos exposure measurement",0
"EFO_0004713","FEV/FEC ratio",5702
"EFO_0006898","airway wall thickness measurement",7
"EFO_0007910","CHGB cleavage product measurement",0
"EFO_0008386","body odor measurement",0
"EFO_0008331","interleukin 2 measurement",4
"EFO_0007980","cerebral blood flow measurement",6
"EFO_0010421","triacylglycerol 54:3 measurement",0
"EFO_0010433","triacylglycerol 56:6 measurement",0
"EFO_0006807","linoleic acid measurement",73
"EFO_0006811","linolenic acid measurement",78
"EFO_0006340","mean arterial pressure",1129
"EFO_1000799","afferent loop syndrome",0
"EFO_1000864","cholecystolithiasis",66
"EFO_1001295","microscopic colitis",131
"EFO_1001293","collagenous colitis",41
"EFO_0005626","pancolitis",69
"EFO_1001463","gastroenteritis",5983
"MONDO_0000858","neuronal intestinal dysplasia",6
"EFO_0009523","fecal incontinence",46
"EFO_1001851","stomach rupture",0
"EFO_1000837","beriberi",6
"MONDO_0037748","hyperlipoproteinemia",716
"MONDO_0001436","hemosiderosis",507
"MONDO_0045020","glycine metabolism disease",90
"EFO_0009502","abdominal injury",26
"EFO_0009527","frostbite",17
"MONDO_0021583","melanocytic skin neoplasm",3769
"EFO_0003874","flatfoot",122
"Orphanet_970","Hereditary sensory and autonomic neuropathy type 2",28
"Orphanet_88642","Channelopathy-associated congenital insensitivity to pain",8
"Orphanet_79507","Hypotonia - failure to thrive - microcephaly",3
"Orphanet_309","Familial partial epilepsy",584
"Orphanet_370114","Combined cervical dystonia",0
"MONDO_0017652","rare disease with myoclonus as a major feature",389
"Orphanet_96210","Rare genetic deafness",4930
"Orphanet_98641","Syndromic cataract",2860
"Orphanet_163721","Rolandic epilepsy - speech dyspraxia",2
"Orphanet_98816","Benign childhood occipital epilepsy, Gastaut type",0
"Orphanet_2266","Hypotrichosis-intellectual disability, Lopes type",0
"Orphanet_85336","X-linked neurodegenerative syndrome, Hamel type",0
"Orphanet_702","Pelizaeus-Merzbacher disease",164
"Orphanet_685","Hereditary spastic paraplegia",1932
"Orphanet_401840","Autosomal recessive spastic paraplegia type 71",0
"Orphanet_100991","Autosomal dominant spastic paraplegia type 10",18
"Orphanet_135","CACH syndrome",110
"Orphanet_289494","Hypomyelinating leukodystrophy with or without oligondontia and/or hypogonadism",65
"Orphanet_363540","Leukoencephalopathy with mild cerebellar ataxia and white matter edema",2
"Orphanet_85136","Cystic leukoencephalopathy without megalencephaly",6
"MONDO_0000023","infantile liver failure",176
"EFO_1000017","autosomal recessive disease",7305
"EFO_0010255","metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression",1
"EFO_1001314","pseudomembranous enterocolitis",0
"MONDO_0013511","cyanosis, transient neonatal",285
"MONDO_0013660","arthrogryposis, Perthes disease, and upward gaze palsy",1
"Orphanet_228000","Idiopathic CD4 lymphocytopenia",163
"Orphanet_179006","Primary immunodeficiency due to a defect in adaptive immunity",5459
"Orphanet_169110","Immunoglobulin heavy chain deficiency",0
"Orphanet_317428","Combined immunodeficiency due to ORAI1 deficiency",25
"Orphanet_317419","T-B- severe combined immunodeficiency",659
"EFO_0005565","janus kinase-3 deficiency",1
"Orphanet_317416","T-B+ severe combined immunodeficiency",1280
"EFO_0005568","methylmalonic aciduria and homocystinuria type cblE",2
"MONDO_0012657","Mungan syndrome",1
"MONDO_0029131","peripheral neuropathy, autosomal recessive, with or without impaired intellectual development",1
"Orphanet_183598","Rare genetic palpebral, lacrimal system and conjunctival disease",5057
"Orphanet_98600","Eyebrow/eyelashes distichiasis",238
"Orphanet_98576","Malposition of external canthus",575
"Orphanet_98574","Syndromic epicanthus",761
"Orphanet_98698","Ichthyosis associated with ocular features",514
"Orphanet_98681","Rare strabismus and restriction syndrome",2123
"Orphanet_98692","Nervous system anomaly with eye involvement",3554
"EFO_0009042","Estrogen resistance syndrome",2
"Orphanet_1652","Dent disease",272
"Orphanet_84081","Senior-Boichis syndrome",9
"MONDO_0014839","chorea, childhood-onset, with psychomotor retardation",1
"MONDO_0030703","autoimmune vasculitis",41
"MONDO_0015488","predominantly large-vessel vasculitis",903
"MONDO_0002089","retinal vascular occlusion",204
"EFO_0009321","diabetic macular edema",302
"MONDO_0004885","choroidal sclerosis",7
"EFO_0002497","acute hypotension",23
"MONDO_0002286","renal artery disease",203
"MONDO_0019063","vascular anomaly",3112
"MONDO_0016231","capillary malformation",518
"EFO_0000713","subarachnoid hemorrhage",651
"EFO_0004718","vascular dementia",557
"EFO_1001976","cardioembolic stroke",120
"HP_0100309","subdural hemorrhage",144
"EFO_1001308","Embolism, Paradoxical",0
"EFO_1001387","Peliosis Hepatis",3
"EFO_1001822","Paroxysmal Hemicrania",6
"MONDO_0002187","vulvar disease",471
"EFO_1001863","Uterine Inertia",21
"MONDO_0018401","female infertility due to an anomaly of ovarian function",153
"EFO_0009006","hyperandrogenism",188
"EFO_1000910","dysplasia of cervix",144
"EFO_0007440","placenta accreta",48
"MONDO_0041161","endometrial hyperplasia",311
"EFO_0004248","male infertility",6106
"MONDO_0018386","rare male infertility due to hypothalamic-pituitary-gonadal axis disorder",4420
"EFO_0002625","teratozoospermia",6128
"EFO_1002050","nephritis",2391
"EFO_0009571","urinary tract obstruction",380
"MONDO_0000595","sexual disorder",426
"MONDO_0002134","physiological sexual disorder",423
"EFO_0005924","binge eating",161
"EFO_0005204","bulimia nervosa",163
"EFO_0005223","acute stress reaction",143
"MONDO_0002326","alcohol-induced mental disorder",1276
"EFO_0002610","cocaine dependence",263
"EFO_0007191","cannabis dependence",115
"EFO_0005612","morphine dependence",102
"EFO_0009752","visuospatial impairment",7
"MONDO_0044322","intellectual developmental disorder with neuropsychiatric features",1
"MONDO_0044326","developmental delay and seizures with or without movement abnormalities",1
"MONDO_0004750","language disorder",201
"EFO_0009687","somatoform disorder",25
"EFO_0008573","alcoholic liver disease",759
"MONDO_0001422","primary aldosteronism",489
"MONDO_0019590","rare endocrine growth disease",4657
"EFO_1000931","euthyroid sick syndrome",27
"EFO_1001431","suppurative thyroiditis",1
"EFO_1001311","End Stage Liver Disease",281
"EFO_1000048","postweaning multisystemic wasting syndrome",13
"MONDO_0024934","fish disease",36
"EFO_0003885","multiple sclerosis",3095
"EFO_0003929","relapsing-remitting multiple sclerosis",1112
"MONDO_0002612","frontal lobe epilepsy",159
"MONDO_0016406","other metabolic disease with epilepsy",452
"MONDO_0002045","communicating hydrocephalus",169
"MONDO_0001084","primary optic atrophy",1240
"EFO_0001357","sporadic amyotrophic lateral sclerosis",365
"EFO_1001279","Brown-Sequard Syndrome",3
"EFO_1001809","Marchiafava-Bignami Disease",84
"EFO_1001155","retinal drusen",261
"EFO_1001147","reflex sympathetic dystrophy",59
"EFO_1001220","trochlear nerve disease",0
"MONDO_0002122","neuritis",218
"MONDO_0016178","peripheral neuropathy associated with monoclonal gammopathy",50
"MONDO_0002321","sensory peripheral neuropathy",478
"EFO_0004270","restless legs syndrome",353
"MONDO_0001554","phacogenic glaucoma",254
"MONDO_0004843","pathologic nystagmus",20
"MONDO_0003441","dystonic disorder",1169
"MONDO_0000476","generalized dystonia",90
"GO_0007420","brain development",0
"GO_0044237","cellular metabolic process",32
"GO_0006164","purine nucleotide biosynthetic process",0
"GO_0009152","purine ribonucleotide biosynthetic process",0
"GO_0009142","nucleoside triphosphate biosynthetic process",0
"EFO_0008151","hepatitis A virus cellular receptor 2 measurement",13
"EFO_0008160","insulin receptor measurement",28
"EFO_0008035","beta-nerve growth factor measurement",7
"EFO_0008270","proprotein convertase subtilisin/kexin type 7 measurement",15
"EFO_0008288","small nuclear ribonucleoprotein F measurement",34
"EFO_0008158","inosine-5'-monophosphate dehydrogenase 1 measurement",22
"EFO_0008250","NKG2-D type II integral membrane protein measurement",30
"EFO_0008053","C-C motif chemokine 5 measurement",29
"EFO_0008124","ephrin type-B receptor 2 measurement",11
"EFO_0004792","plasminogen activator inhibitor 1 measurement",47
"EFO_0004735","serum alanine aminotransferase measurement",452
"EFO_0004746","lipoprotein-associated phospholipase A(2) measurement",264
"EFO_0007805","HDL cholesterol change measurement",584
"EFO_0008594","very low density lipoprotein particle size measurement",6
"EFO_0007678","total fat intake measurement",0
"EFO_0005413","joint damage measurement",53
"EFO_0009403","granule cell layer dentate gyrus volume",40
"EFO_0010332","supramarginal gyrus volume measurement",0
"EFO_0010326","precuneus cortex volume measurement",0
"EFO_0010330","superior parietal cortex volume measurement",0
"EFO_0010479","fructose-6-phosphate measurement",0
"EFO_0010478","fructose-1-phosphate measurement",0
"EFO_0010484","glucose-1-phosphate measurement",0
"EFO_0004557","population measurement",1581
"EFO_0010162","death in childhood",0
"EFO_0007882","microbiome measurement",1169
"EFO_0008456","sleep apnea measurement during non-REM sleep",0
"EFO_0007758","intermittent Staphylococcus aureus carrier status",5
"EFO_0007698","GBA carrier status",0
"EFO_0009332","executive function measurement",7
"EFO_0009723","job satisfaction measurement",0
"EFO_0009178","neurofilament light chain measurement",21
"EFO_0007963","abnormal paneth cell measurement",0
"EFO_0010379","phosphatidylcholine 36:1 measurement",0
"EFO_0010353","diacylglycerol 34:2 measurement",0
"EFO_0007742","QRS amplitude",239
"EFO_0010357","lysophosphatidylcholine 16:0 measurement",0
"EFO_0010359","lysophosphatidylcholine 18:0 measurement",0
"EFO_0006512","angiographic measurement",12
"EFO_0005268","serum zinc measurement",38
"EFO_0008454","short physical performance battery score measurement",0
"EFO_0006942","facial pigmentation measurement",45
"EFO_0008417","susceptibility to common cold measurement",0
"EFO_0010446","2-hydroxyglutaric acid measurement",0
"EFO_0005849","serum lipase activity measurement",84
"EFO_1001019","lip cancer",25
"EFO_1000492","Primary Intraosseous Squamous Cell Carcinoma",4
"Orphanet_79459","Follicular atrophoderma-basal cell carcinoma",0
"EFO_1001948","childhood T lymphoblastic lymphoma",69
"MONDO_0019278","hair anomaly",2694
"Orphanet_91132","Ichthyosis-hypotrichosis syndrome",68
"HP_0004552","Scarring alopecia of scalp",2
"Orphanet_86819","Atrichia with papular lesions",112
"Orphanet_508","Leprechaunism",75
"Orphanet_3361","Trichodysplasia - xeroderma",19
"MONDO_0018558","syndrome with woolly hair",232
"Orphanet_2561","Ackerman syndrome",3
"Orphanet_90339","Rosselli-Gulienetti syndrome",31
"Orphanet_79500","DOORS syndrome",13
"Orphanet_952","Acrofacial dysostosis, Weyers type",35
"Orphanet_1807","Focal facial dermal dysplasia type III",18
"Orphanet_1811","Odontomicronychial dysplasia",1
"EFO_1001204","sweat gland neoplasm",295
"EFO_0000701","skin disease",14305
"Orphanet_33445","Neuroectodermal melanolysosomal disease",1
"Orphanet_1493","Vici syndrome",56
"Orphanet_3440","Waardenburg syndrome",206
"Orphanet_895","Waardenburg syndrome type 2",85
"Orphanet_284811","Syndromic oculocutaneous albinism",971
"MONDO_0027767","partial lipodystrophy",860
"EFO_1000771","subcorneal pustular dermatosis",8
"Orphanet_2340","Keratosis follicularis spinulosa decalvans",74
"Orphanet_64754","Nevus comedonicus syndrome",8
"Orphanet_125","Bloom syndrome",131
"EFO_0009385","familial tumoral calcinosis",75
"MONDO_0011024","dermatitis herpetiformis, familial",0
"Orphanet_221046","Poikiloderma with neutropenia",43
"Orphanet_100976","Bathing suit ichthyosis",150
"Orphanet_79395","Keratoderma hereditarium mutilans with ichthyosis",33
"Orphanet_281222","Autosomal ichthyosis syndrome with prominent hair abnormalities",285
"Orphanet_59303","Ichthyosis - hypotrichosis - sclerosing cholangitis",39
"Orphanet_79473","Porphyria variegata",144
"Orphanet_300359","PLCG2-associated antibody deficiency and immune dysregulation",25
"Orphanet_1318","Campomelia, Cumming type",19
"Orphanet_1414","Cholestasis-lymphedema syndrome",93
"Orphanet_69735","Hypotrichosis - lymphedema - telangiectasia",10
"Orphanet_3226","Deafness - lymphedema - leukemia",44
"Orphanet_100","Ataxia-telangiectasia",1387
"Orphanet_402003","Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering",130
"Orphanet_307804","Autosomal recessive disease with diffuse palmoplantar keratoderma as a major feature",442
"Orphanet_85112","Palmoplantar keratoderma - XX sex reversal - predisposition to squamous cell carcinoma",5
"Orphanet_384","Palmoplantar keratoderma-sclerodactyly syndrome",132
"Orphanet_98357","Autosomal recessive disease with focal palmoplantar keratoderma as a major feature",55
"Orphanet_28378","Tyrosinemia type 2",16
"Orphanet_307967","Punctate palmoplantar keratoderma",161
"Orphanet_79444","Pseudohypoparathyroidism type 1C",120
"Orphanet_357225","Primary non-essential cutis verticis gyrata",0
"MONDO_0010895","ABCD syndrome",1
"EFO_1001844","skin mastocytoma",1
"Orphanet_331249","Immunodeficiency syndrome with hypopigmentation",769
"Orphanet_251347","Ataxia-telangiectasia-like disorder",200
"Orphanet_306504","Congenital nephrotic syndrome-interstitial lung disease-epidermolysis bullosa syndrome",2
"Orphanet_79402","Generalized junctional epidermolysis bullosa, non-Herlitz type",18
"Orphanet_2116","Hartnup disease",61
"Orphanet_302","Epidermodysplasia verruciformis",42
"EFO_0003780","Behcet's syndrome",442
"EFO_1000120","Benign Skin Appendage Neoplasm",2
"EFO_0000625","nevus",1437
"EFO_0008605","IgG/IgA pemphigus",1
"EFO_1000680","mucous membrane pemphigoid",1768
"EFO_1000772","sweat gland disease",621
"EFO_1000712","hypohidrosis",41
"EFO_1000748","pelvic lipomatosis",1
"Orphanet_86914","Lymphedema - cerebral arteriovenous anomaly",24
"EFO_1000706","hand dermatosis",7
"MONDO_0018798","other genetic dermis disorder",428
"EFO_1001777","chloracne",15
"EFO_0007294","hand, foot and mouth disease",123
"EFO_0007511","tinea favosa",5
"MONDO_0004389","mite infestation",20
"EFO_0005046","cutaneous Leishmaniasis",220
"EFO_1000662","acneiform dermatitis",9
"EFO_1000682","conjunctival pigmentation",2
"EFO_0000678","pterygium",322
"MONDO_0003724","non-proliferative fibrocystic change of the breast",8
"Orphanet_98964","Lattice corneal dystrophy type I",89
"Orphanet_98967","Schnyder corneal dystrophy",494
"MONDO_0000763","epithelial and subepithelial corneal dystrophy",113
"EFO_1001001","keratoconjunctivitis sicca",249
"EFO_0007126","Acanthamoeba keratitis",19
"MONDO_0001515","corneal degeneration",10
"Orphanet_90348","Autosomal dominant cutis laxa",129
"Orphanet_221145","Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies",48
"MONDO_0002102","cheilitis",54
"MONDO_0014206","severe early-onset pulmonary alveolar proteinosis due to MARS deficiency",2
"MONDO_0008903","lung cancer",8229
"Orphanet_93372","Familial hypocalciuric hypercalcemia type 1",40
"EFO_0007192","Caplan's syndrome",3
"EFO_0005297","Granulomatosis with Polyangiitis",383
"Orphanet_60025","Pulmonary alveolar microlithiasis",20
"MONDO_0044782","esophageal ulcer",230
"EFO_0002916","esophageal carcinoma",4406
"EFO_1000930","esophageal diverticulosis",0
"Orphanet_88993","Esophageal malformation",342
"Orphanet_929","Achalasia - microcephaly",13
"MONDO_0019964","thymic neuroendocrine tumor",14
"Orphanet_615","Familial atrial myxoma",76
"MONDO_0004021","mediastinal malignant lymphoma",160
"EFO_1000878","constrictive pericarditis",16
"EFO_1002018","bronchial disease",5126
"MONDO_0015853","deficient breast volume or number",459
"Orphanet_3138","Ulnar-mammary syndrome",31
"EFO_0000684","respiratory system disease",13593
"EFO_1000227","Dysplasia of Larynx",4
"EFO_1000124","Biphasic Mesothelioma",107
"EFO_0009195","Pulmonary arterial hypertension associated with chronic hemolytic anemia",0
"EFO_0009196","Pulmonary arterial hypertension associated with connective tissue disease",11
"EFO_1000782","altitude sickness",293
"Orphanet_309111","Combined pancreatic lipase-colipase deficiency",8
"MONDO_0002177","hyperinsulinism (disease)",950
"Orphanet_225","Maternally-inherited diabetes and deafness",112
"EFO_0001359","type I diabetes mellitus",3933
"EFO_1000897","diabetic ketoacidosis",139
"EFO_0000549","insulinoma",734
"EFO_1000446","Pancreatoblastoma",28
"Orphanet_231214","Beta-thalassemia major",166
"Orphanet_2132","Hemoglobin C disease",1
"Orphanet_98370","Hemolytic anemia due to hexose monophosphate shunt and glutathione metabolism anomalies",81
"Orphanet_714","Hemolytic anemia due to diphosphoglycerate mutase deficiency",13
"Orphanet_90031","Non-spherocytic hemolytic anemia due to hexokinase deficiency",13
"Orphanet_231401","Alpha-thalassemia - myelodysplastic syndrome",16
"Orphanet_67044","Thrombocytopenia with congenital dyserythropoietic anemia",23
"Orphanet_93578","Atypical hemolytic-uremic syndrome with B factor anomaly",8
"Orphanet_255132","Adult-onset autosomal recessive sideroblastic anemia",325
"EFO_1001943","childhood acute megakaryoblastic leukemia",18
"EFO_1001945","childhood acute myeloid leukemia with maturation",18
"EFO_0007481","septicemic plague",5
"EFO_0009087","non-typhoidal Salmonella bacteremia",7
"Orphanet_71202","Rare hemorrhagic disorder due to a constitutional platelet anomaly",1786
"Orphanet_98885","Bleeding diathesis due to glycoprotein VI deficiency",95
"Orphanet_101022","Mediterranean macrothrombocytopenia",9
"Orphanet_369852","Recurrent infections-myelofibrosis-nephromegaly syndrome",248
"MONDO_0014274","L-ferritin deficiency",1
"Orphanet_322126","Genetic tumor of hematopoietic and lymphoid tissues",11274
"MONDO_0017595","aggressive B-cell non-Hodgkin lymphoma",2742
"MONDO_0044889","high grade B-cell lymphoma",50
"EFO_1000956","hairy cell leukemia",385
"MONDO_0018906","follicular lymphoma",58
"EFO_1000228","EBV-Positive T-Cell Lymphoproliferative Disorder of Childhood",0
"EFO_1000077","AIDS-Related Primary Central Nervous System Lymphoma",5
"MONDO_0020312","atypical chronic myeloid leukemia",53
"EFO_1001115","POEMS syndrome",50
"Orphanet_331226","Autosomal recessive hyper-IgE syndrome due to TYK2 deficiency",79
"Orphanet_101090","Hyper-IgM syndrome type 3",24
"Orphanet_3324","Familial thrombomodulin anomalies",0
"Orphanet_83639","Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency",5
"EFO_1001025","lymphangiectasis",28
"MONDO_0001014","chronic leukemia",3304
"MONDO_0044744","prekallikrein deficiency",6
"Orphanet_177","Rhizomelic chondrodysplasia punctata",180
"Orphanet_3103","Roberts syndrome",54
"EFO_0009666","enthesopathy",89
"MONDO_0024419","enthesitis",71
"MONDO_0002628","peripheral osteosarcoma",13
"EFO_0000333","chondrosarcoma",659
"EFO_0008586","Non-ST Elevation Myocardial Infarction",206
"MONDO_0000468","third-degree atrioventricular block",50
"EFO_0009459","ACPA-positive rheumatoid arthritis",66
"Orphanet_79102","Thyrotoxic periodic paralysis",153
"MONDO_0003816","articular cartilage disease",56
"MONDO_0003366","hydrarthrosis",6
"EFO_1000900","discitis",11
"EFO_1001378","neurogenic arthropathy",96
"Orphanet_2311","Autosomal recessive spondylocostal dysostosis",93
"Orphanet_2615","Nakajo-Nishimura syndrome",14
"Orphanet_51","Aicardi-Goutières syndrome",388
"MONDO_0020013","rare odontologic disease",1999
"Orphanet_180766","Malformative syndrome with dentinogenesis imperfecta",145
"Orphanet_2332","KBG syndrome",123
"Orphanet_363417","Temtamy preaxial brachydactyly syndrome",80
"Orphanet_99791","Dentin dysplasia type II",24
"Orphanet_171836","Amelogenesis imperfecta and gingival hyperplasia syndrome",1
"EFO_1001833","Pubic Symphysis Diastasis",0
"EFO_1001098","pericoronitis",8
"EFO_0000649","periodontitis",1583
"EFO_1001202","suppurative periapical periodontitis",117
"MONDO_0000151","symphalangism",83
"MONDO_0000836","disease of bone structure",5409
